========================================================
INIZIO NUOVO ADDESTRAMENTO: 18-Apr-2026 11:00:53
========================================================
Ep (Worker) | Step | Reward Totale | Motivo Terminazione
--------------------------------------------------------
Step: 13 | Rwd: -1152.18 | Distanza goal: 1070.73 | Motivo: Schianto a terra
Step: 869 | Rwd: -12473.36 | Distanza goal: 5.15 | Motivo: Schianto a terra
Step: 885 | Rwd: -5849.25 | Distanza goal: 0.88 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 998 | Rwd: -13034.09 | Distanza goal: 14.55 | Motivo: Schianto a terra
Step: 1009 | Rwd: -12343.23 | Distanza goal: 2.25 | Motivo: Schianto a terra
Step: 1341 | Rwd: -16531.86 | Distanza goal: 236.69 | Motivo: Deviazione eccessiva
Step: 1135 | Rwd: -12282.91 | Distanza goal: 13.80 | Motivo: Schianto a terra
Step: 17 | Rwd: -1294.77 | Distanza goal: 1189.96 | Motivo: Schianto a terra
Step: 669 | Rwd: -14238.31 | Distanza goal: 156.86 | Motivo: Deviazione eccessiva
Step: 958 | Rwd: -14334.01 | Distanza goal: 216.39 | Motivo: Deviazione eccessiva
Step: 944 | Rwd: -17884.59 | Distanza goal: 2.50 | Motivo: Schianto a terra
Step: 943 | Rwd: -19398.86 | Distanza goal: 2.53 | Motivo: Schianto a terra
Step: 1315 | Rwd: -16909.85 | Distanza goal: 9.42 | Motivo: Schianto a terra
Step: 855 | Rwd: -11875.18 | Distanza goal: 9.79 | Motivo: Schianto a terra
Step: 838 | Rwd: -20193.03 | Distanza goal: 11.02 | Motivo: Schianto a terra
Step: 953 | Rwd: -12533.07 | Distanza goal: 22.00 | Motivo: Schianto a terra
Step: 1084 | Rwd: -13483.78 | Distanza goal: 3.28 | Motivo: Schianto a terra
Step: 1170 | Rwd: -6598.63 | Distanza goal: 0.57 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 1270 | Rwd: -6874.98 | Distanza goal: 0.89 | Motivo: TRAGUARDO RAGGIUNTO!
