========================================================
INIZIO NUOVO ADDESTRAMENTO: 21-Apr-2026 17:38:01
========================================================
Ep (Worker) | Step | Reward Totale | Motivo Terminazione
--------------------------------------------------------
Step: 13 | Rwd: -2007.91 | Distanza goal: 386.85 | Motivo: Collisione ostacolo
Step: 200 | Rwd: -2148.68 | Distanza goal: 100.15 | Motivo: Deviazione eccessiva
Step: 341 | Rwd: -2254.59 | Distanza goal: 1.36 | Motivo: Collisione ostacolo
Step: 6 | Rwd: -2002.99 | Distanza goal: 274.45 | Motivo: Collisione ostacolo
Step: 153 | Rwd: -2113.40 | Distanza goal: 124.98 | Motivo: Collisione ostacolo
Step: 297 | Rwd: -2222.73 | Distanza goal: 3.00 | Motivo: Collisione ostacolo
Step: 135 | Rwd: -2099.35 | Distanza goal: 112.12 | Motivo: Collisione ostacolo
Step: 243 | Rwd: -2180.81 | Distanza goal: 120.03 | Motivo: Deviazione eccessiva
Step: 404 | Rwd: -2301.15 | Distanza goal: 3.48 | Motivo: Collisione ostacolo
Step: 226 | Rwd: -2170.28 | Distanza goal: 11.91 | Motivo: Collisione ostacolo
Step: 89 | Rwd: -2066.07 | Distanza goal: 173.41 | Motivo: Collisione ostacolo
Step: 136 | Rwd: -2100.56 | Distanza goal: 111.40 | Motivo: Collisione ostacolo
Step: 84 | Rwd: -2062.11 | Distanza goal: 260.20 | Motivo: Collisione ostacolo
Step: 182 | Rwd: -2138.30 | Distanza goal: 3.78 | Motivo: Collisione ostacolo
Step: 97 | Rwd: -2071.80 | Distanza goal: 165.46 | Motivo: Collisione ostacolo
Step: 307 | Rwd: -2228.44 | Distanza goal: 26.60 | Motivo: Collisione ostacolo
Step: 200 | Rwd: -2148.54 | Distanza goal: 107.06 | Motivo: Deviazione eccessiva
Step: 338 | Rwd: -2253.13 | Distanza goal: 1.24 | Motivo: Collisione ostacolo
Step: 118 | Rwd: -2087.86 | Distanza goal: 122.26 | Motivo: Collisione ostacolo
Step: 256 | Rwd: -2189.09 | Distanza goal: 131.58 | Motivo: Deviazione eccessiva
Step: 244 | Rwd: -2182.28 | Distanza goal: 129.11 | Motivo: Collisione ostacolo
Step: 89 | Rwd: -2068.25 | Distanza goal: 251.53 | Motivo: Collisione ostacolo
Step: 104 | Rwd: -2076.93 | Distanza goal: 171.05 | Motivo: Collisione ostacolo
Step: 277 | Rwd: -2207.59 | Distanza goal: 2.68 | Motivo: Collisione ostacolo
Step: 164 | Rwd: -2121.56 | Distanza goal: 133.22 | Motivo: Deviazione eccessiva
Step: 239 | Rwd: -2177.04 | Distanza goal: 127.54 | Motivo: Deviazione eccessiva
Step: 161 | Rwd: -2119.17 | Distanza goal: 135.11 | Motivo: Deviazione eccessiva
Step: 108 | Rwd: -2079.64 | Distanza goal: 144.69 | Motivo: Collisione ostacolo
Step: 163 | Rwd: -2120.97 | Distanza goal: 134.79 | Motivo: Deviazione eccessiva
Step: 115 | Rwd: -2085.06 | Distanza goal: 392.06 | Motivo: Collisione ostacolo
Step: 320 | Rwd: -2238.60 | Distanza goal: 2.02 | Motivo: Collisione ostacolo
Step: 397 | Rwd: -2295.78 | Distanza goal: 2.36 | Motivo: Schianto a terra
Step: 172 | Rwd: -2127.36 | Distanza goal: 139.83 | Motivo: Deviazione eccessiva
Step: 346 | Rwd: -2257.97 | Distanza goal: 2.12 | Motivo: Collisione ostacolo
Step: 111 | Rwd: -2081.58 | Distanza goal: 390.12 | Motivo: Collisione ostacolo
Step: 52 | Rwd: -2039.20 | Distanza goal: 287.33 | Motivo: Collisione ostacolo
Step: 133 | Rwd: -2098.61 | Distanza goal: 116.79 | Motivo: Collisione ostacolo
Step: 276 | Rwd: -2205.59 | Distanza goal: 7.99 | Motivo: Collisione ostacolo
Step: 294 | Rwd: -2219.93 | Distanza goal: 2.58 | Motivo: Collisione ostacolo
Step: 131 | Rwd: -2096.99 | Distanza goal: 179.65 | Motivo: Collisione ostacolo
Step: 236 | Rwd: -2172.55 | Distanza goal: 109.09 | Motivo: Collisione ostacolo
Step: 53 | Rwd: -2039.48 | Distanza goal: 313.12 | Motivo: Collisione ostacolo
Step: 222 | Rwd: -2163.83 | Distanza goal: 109.71 | Motivo: Deviazione eccessiva
Step: 361 | Rwd: 732.31 | Distanza goal: 0.97 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 151 | Rwd: -2111.48 | Distanza goal: 327.02 | Motivo: Collisione ostacolo
Step: 351 | Rwd: -2260.50 | Distanza goal: 1.78 | Motivo: Schianto a terra
Step: 220 | Rwd: -2163.06 | Distanza goal: 100.02 | Motivo: Deviazione eccessiva
Step: 384 | Rwd: -2284.82 | Distanza goal: 2.08 | Motivo: Schianto a terra
Step: 90 | Rwd: -2069.14 | Distanza goal: 273.16 | Motivo: Collisione ostacolo
Step: 333 | Rwd: -2247.36 | Distanza goal: 1.65 | Motivo: Collisione ostacolo
Step: 170 | Rwd: -2125.32 | Distanza goal: 143.26 | Motivo: Deviazione eccessiva
Step: 88 | Rwd: -2067.61 | Distanza goal: 253.49 | Motivo: Collisione ostacolo
Step: 113 | Rwd: -2084.09 | Distanza goal: 149.69 | Motivo: Collisione ostacolo
Step: 175 | Rwd: -2129.54 | Distanza goal: 110.02 | Motivo: Deviazione eccessiva
Step: 239 | Rwd: -2178.54 | Distanza goal: 10.53 | Motivo: Collisione ostacolo
Step: 375 | Rwd: 721.06 | Distanza goal: 0.84 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 82 | Rwd: -2061.13 | Distanza goal: 157.77 | Motivo: Collisione ostacolo
Step: 186 | Rwd: -2137.78 | Distanza goal: 132.26 | Motivo: Deviazione eccessiva
Step: 140 | Rwd: -2104.17 | Distanza goal: 142.77 | Motivo: Collisione ostacolo
Step: 219 | Rwd: -2162.00 | Distanza goal: 112.91 | Motivo: Deviazione eccessiva
Step: 104 | Rwd: -2076.67 | Distanza goal: 161.14 | Motivo: Collisione ostacolo
Step: 201 | Rwd: -2148.73 | Distanza goal: 105.75 | Motivo: Deviazione eccessiva
Step: 141 | Rwd: -2104.31 | Distanza goal: 109.50 | Motivo: Collisione ostacolo
Step: 366 | Rwd: -2272.06 | Distanza goal: 1.83 | Motivo: Schianto a terra
Step: 177 | Rwd: -2129.87 | Distanza goal: 126.76 | Motivo: Collisione ostacolo
Step: 266 | Rwd: -2197.27 | Distanza goal: 114.31 | Motivo: Deviazione eccessiva
Step: 8 | Rwd: -2004.31 | Distanza goal: 296.04 | Motivo: Collisione ostacolo
Step: 152 | Rwd: -2112.55 | Distanza goal: 327.03 | Motivo: Collisione ostacolo
Step: 134 | Rwd: -2098.99 | Distanza goal: 113.29 | Motivo: Collisione ostacolo
Step: 108 | Rwd: -2079.92 | Distanza goal: 141.75 | Motivo: Collisione ostacolo
Step: 273 | Rwd: -2203.68 | Distanza goal: 1.27 | Motivo: Collisione ostacolo
Step: 288 | Rwd: 785.72 | Distanza goal: 0.70 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 202 | Rwd: -2151.88 | Distanza goal: 12.84 | Motivo: Collisione ostacolo
Step: 86 | Rwd: -2063.56 | Distanza goal: 260.46 | Motivo: Collisione ostacolo
Step: 118 | Rwd: -2089.95 | Distanza goal: 214.10 | Motivo: Collisione ostacolo
Step: 314 | Rwd: -2232.99 | Distanza goal: 1.16 | Motivo: Collisione ostacolo
Step: 360 | Rwd: -2267.07 | Distanza goal: 1.78 | Motivo: Collisione ostacolo
Step: 345 | Rwd: 743.78 | Distanza goal: 0.92 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 87 | Rwd: -2063.90 | Distanza goal: 171.84 | Motivo: Collisione ostacolo
Step: 339 | Rwd: -2251.95 | Distanza goal: 2.69 | Motivo: Collisione ostacolo
Step: 237 | Rwd: -2175.77 | Distanza goal: 12.85 | Motivo: Collisione ostacolo
Step: 237 | Rwd: -2174.80 | Distanza goal: 117.47 | Motivo: Collisione ostacolo
Step: 265 | Rwd: -2196.16 | Distanza goal: 115.93 | Motivo: Deviazione eccessiva
Step: 172 | Rwd: -2126.64 | Distanza goal: 140.96 | Motivo: Deviazione eccessiva
Step: 101 | Rwd: -2074.50 | Distanza goal: 161.72 | Motivo: Collisione ostacolo
Step: 196 | Rwd: -2147.64 | Distanza goal: 19.83 | Motivo: Collisione ostacolo
Step: 203 | Rwd: -2150.11 | Distanza goal: 103.70 | Motivo: Deviazione eccessiva
Step: 245 | Rwd: -2181.57 | Distanza goal: 127.75 | Motivo: Collisione ostacolo
Step: 7 | Rwd: -2003.61 | Distanza goal: 263.87 | Motivo: Collisione ostacolo
Step: 130 | Rwd: -2098.10 | Distanza goal: 88.83 | Motivo: Collisione ostacolo
Step: 123 | Rwd: -2090.94 | Distanza goal: 173.74 | Motivo: Collisione ostacolo
Step: 186 | Rwd: -2137.95 | Distanza goal: 101.99 | Motivo: Deviazione eccessiva
Step: 152 | Rwd: -2111.47 | Distanza goal: 144.54 | Motivo: Deviazione eccessiva
Step: 388 | Rwd: -2288.16 | Distanza goal: 1.77 | Motivo: Collisione ostacolo
Step: 352 | Rwd: -2261.24 | Distanza goal: 1.81 | Motivo: Schianto a terra
Step: 336 | Rwd: -2249.17 | Distanza goal: 1.49 | Motivo: Collisione ostacolo
Step: 281 | Rwd: -2209.37 | Distanza goal: 2.18 | Motivo: Collisione ostacolo
Step: 301 | Rwd: -2222.85 | Distanza goal: 33.82 | Motivo: Collisione ostacolo
Step: 325 | Rwd: 758.94 | Distanza goal: 0.99 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 8 | Rwd: -2004.21 | Distanza goal: 250.92 | Motivo: Collisione ostacolo
Step: 11 | Rwd: -2006.54 | Distanza goal: 346.14 | Motivo: Collisione ostacolo
Step: 134 | Rwd: -2099.19 | Distanza goal: 115.24 | Motivo: Collisione ostacolo
Step: 328 | Rwd: 755.62 | Distanza goal: 0.96 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 357 | Rwd: -2266.29 | Distanza goal: 1.43 | Motivo: Collisione ostacolo
Step: 303 | Rwd: -2226.01 | Distanza goal: 2.04 | Motivo: Collisione ostacolo
Step: 313 | Rwd: -2231.94 | Distanza goal: 19.99 | Motivo: Collisione ostacolo
Step: 153 | Rwd: -2113.13 | Distanza goal: 145.10 | Motivo: Deviazione eccessiva
Step: 160 | Rwd: -2117.52 | Distanza goal: 143.70 | Motivo: Deviazione eccessiva
Step: 209 | Rwd: -2155.18 | Distanza goal: 119.70 | Motivo: Deviazione eccessiva
Step: 153 | Rwd: -2112.76 | Distanza goal: 152.89 | Motivo: Deviazione eccessiva
Step: 320 | Rwd: -2237.74 | Distanza goal: 1.48 | Motivo: Collisione ostacolo
Step: 123 | Rwd: -2090.71 | Distanza goal: 174.54 | Motivo: Collisione ostacolo
Step: 331 | Rwd: -2245.49 | Distanza goal: 3.68 | Motivo: Collisione ostacolo
Step: 139 | Rwd: -2102.76 | Distanza goal: 113.60 | Motivo: Collisione ostacolo
Step: 306 | Rwd: -2227.77 | Distanza goal: 1.26 | Motivo: Collisione ostacolo
Step: 411 | Rwd: 694.60 | Distanza goal: 0.65 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 83 | Rwd: -2062.13 | Distanza goal: 158.65 | Motivo: Collisione ostacolo
Step: 105 | Rwd: -2079.44 | Distanza goal: 136.53 | Motivo: Collisione ostacolo
Step: 92 | Rwd: -2067.87 | Distanza goal: 156.45 | Motivo: Collisione ostacolo
Step: 96 | Rwd: -2071.20 | Distanza goal: 227.61 | Motivo: Collisione ostacolo
Step: 358 | Rwd: -2266.85 | Distanza goal: 2.13 | Motivo: Collisione ostacolo
Step: 361 | Rwd: 731.19 | Distanza goal: 0.91 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 146 | Rwd: -2107.85 | Distanza goal: 186.20 | Motivo: Collisione ostacolo
Step: 128 | Rwd: -2096.43 | Distanza goal: 90.28 | Motivo: Collisione ostacolo
Step: 129 | Rwd: -2095.80 | Distanza goal: 144.81 | Motivo: Collisione ostacolo
Step: 84 | Rwd: -2062.75 | Distanza goal: 158.93 | Motivo: Collisione ostacolo
Step: 153 | Rwd: -2112.79 | Distanza goal: 146.91 | Motivo: Deviazione eccessiva
Step: 163 | Rwd: -2120.12 | Distanza goal: 132.64 | Motivo: Deviazione eccessiva
