========================================================
INIZIO NUOVO ADDESTRAMENTO: 22-Apr-2026 16:46:32
========================================================
Ep (Worker) | Step | Reward Totale | Motivo Terminazione
--------------------------------------------------------
Step: 111 | Rwd: -533.49 | Distanza goal: 350.91 | Motivo: Deviazione eccessiva
Step: 445 | Rwd: 322.77 | Distanza goal: 0.98 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 528 | Rwd: 292.39 | Distanza goal: 1.00 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 534 | Rwd: 277.92 | Distanza goal: 0.96 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 330 | Rwd: -601.38 | Distanza goal: 100.41 | Motivo: Deviazione eccessiva
Step: 954 | Rwd: 169.27 | Distanza goal: 0.91 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 487 | Rwd: -650.25 | Distanza goal: 101.01 | Motivo: Deviazione eccessiva
Step: 1389 | Rwd: -1.31 | Distanza goal: 0.83 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 90 | Rwd: -527.62 | Distanza goal: 265.63 | Motivo: Collisione ostacolo
Step: 682 | Rwd: 195.06 | Distanza goal: 0.99 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 331 | Rwd: 383.16 | Distanza goal: 0.93 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 607 | Rwd: 301.30 | Distanza goal: 0.96 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 464 | Rwd: 318.15 | Distanza goal: 0.90 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 1463 | Rwd: -49.28 | Distanza goal: 0.80 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 570 | Rwd: 310.91 | Distanza goal: 0.81 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 644 | Rwd: 203.90 | Distanza goal: 0.92 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 106 | Rwd: -531.92 | Distanza goal: 358.03 | Motivo: Deviazione eccessiva
Step: 386 | Rwd: 350.56 | Distanza goal: 0.95 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 421 | Rwd: 365.70 | Distanza goal: 0.69 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 535 | Rwd: 293.58 | Distanza goal: 0.81 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 227 | Rwd: -569.18 | Distanza goal: 196.96 | Motivo: Collisione ostacolo
Step: 188 | Rwd: -556.92 | Distanza goal: 74.66 | Motivo: Collisione ostacolo
Step: 285 | Rwd: 411.27 | Distanza goal: 0.61 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 372 | Rwd: -622.02 | Distanza goal: 44.06 | Motivo: Schianto a terra
Step: 572 | Rwd: 309.72 | Distanza goal: 0.71 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 2649 | Rwd: -530.57 | Distanza goal: 0.93 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 669 | Rwd: 271.47 | Distanza goal: 0.82 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 777 | Rwd: 217.51 | Distanza goal: 0.91 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 838 | Rwd: 194.90 | Distanza goal: 0.73 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 981 | Rwd: 174.54 | Distanza goal: 0.84 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 159 | Rwd: -548.78 | Distanza goal: 119.48 | Motivo: Collisione ostacolo
Step: 228 | Rwd: -568.86 | Distanza goal: 135.84 | Motivo: Collisione ostacolo
Step: 353 | Rwd: 384.71 | Distanza goal: 0.52 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 552 | Rwd: 270.60 | Distanza goal: 0.98 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 125 | Rwd: -538.55 | Distanza goal: 173.43 | Motivo: Collisione ostacolo
Step: 336 | Rwd: 376.57 | Distanza goal: 0.88 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 321 | Rwd: 396.08 | Distanza goal: 0.80 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 135 | Rwd: -541.92 | Distanza goal: 166.59 | Motivo: Collisione ostacolo
Step: 313 | Rwd: 383.39 | Distanza goal: 0.99 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 117 | Rwd: -536.16 | Distanza goal: 222.36 | Motivo: Collisione ostacolo
Step: 464 | Rwd: 333.58 | Distanza goal: 0.99 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 188 | Rwd: -557.21 | Distanza goal: 73.72 | Motivo: Collisione ostacolo
Step: 473 | Rwd: -645.53 | Distanza goal: 101.03 | Motivo: Deviazione eccessiva
Step: 300 | Rwd: 406.18 | Distanza goal: 0.90 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 413 | Rwd: 368.54 | Distanza goal: 0.93 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 125 | Rwd: -538.00 | Distanza goal: 348.42 | Motivo: Deviazione eccessiva
Step: 375 | Rwd: 381.81 | Distanza goal: 0.92 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 643 | Rwd: 290.54 | Distanza goal: 0.87 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 185 | Rwd: -557.15 | Distanza goal: 173.79 | Motivo: Collisione ostacolo
Step: 163 | Rwd: -550.55 | Distanza goal: 118.39 | Motivo: Collisione ostacolo
Step: 161 | Rwd: -548.82 | Distanza goal: 154.74 | Motivo: Collisione ostacolo
Step: 416 | Rwd: 360.00 | Distanza goal: 0.87 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 378 | Rwd: 378.27 | Distanza goal: 0.68 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 104 | Rwd: -531.22 | Distanza goal: 361.58 | Motivo: Deviazione eccessiva
Step: 95 | Rwd: -529.40 | Distanza goal: 264.83 | Motivo: Collisione ostacolo
Step: 622 | Rwd: 299.71 | Distanza goal: 0.76 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 770 | Rwd: 241.61 | Distanza goal: 0.92 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 263 | Rwd: 417.98 | Distanza goal: 0.58 | Motivo: TRAGUARDO RAGGIUNTO!
