========================================================
INIZIO NUOVO ADDESTRAMENTO: 22-Apr-2026 11:23:48
========================================================
Ep (Worker) | Step | Reward Totale | Motivo Terminazione
--------------------------------------------------------
Step: 129 | Rwd: -2071.84 | Distanza goal: 174.89 | Motivo: Collisione ostacolo
Step: 143 | Rwd: -2080.39 | Distanza goal: 114.76 | Motivo: Collisione ostacolo
Step: 181 | Rwd: -2101.10 | Distanza goal: 2.42 | Motivo: Schianto a terra
Step: 225 | Rwd: -2127.42 | Distanza goal: 7.09 | Motivo: Schianto a terra
Step: 353 | Rwd: 1794.44 | Distanza goal: 0.80 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 387 | Rwd: 1774.37 | Distanza goal: 0.62 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 379 | Rwd: 1779.97 | Distanza goal: 0.56 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 442 | Rwd: 1744.37 | Distanza goal: 0.86 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 170 | Rwd: -2096.73 | Distanza goal: 113.57 | Motivo: Deviazione eccessiva
Step: 234 | Rwd: -2133.49 | Distanza goal: 2.23 | Motivo: Schianto a terra
Step: 89 | Rwd: -2045.33 | Distanza goal: 270.02 | Motivo: Collisione ostacolo
Step: 175 | Rwd: -2097.65 | Distanza goal: 16.29 | Motivo: Schianto a terra
Step: 338 | Rwd: 1803.77 | Distanza goal: 0.76 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 237 | Rwd: -2135.67 | Distanza goal: 1.35 | Motivo: Schianto a terra
Step: 333 | Rwd: -2193.46 | Distanza goal: 1.57 | Motivo: Schianto a terra
Step: 388 | Rwd: 1774.52 | Distanza goal: 0.71 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 303 | Rwd: -2174.45 | Distanza goal: 2.13 | Motivo: Schianto a terra
Step: 168 | Rwd: -2092.24 | Distanza goal: 109.09 | Motivo: Collisione ostacolo
Step: 89 | Rwd: -2047.61 | Distanza goal: 268.48 | Motivo: Collisione ostacolo
Step: 235 | Rwd: -2136.56 | Distanza goal: 4.93 | Motivo: Schianto a terra
Step: 177 | Rwd: -2102.19 | Distanza goal: 109.92 | Motivo: Deviazione eccessiva
Step: 333 | Rwd: -2192.04 | Distanza goal: 4.86 | Motivo: Schianto a terra
Step: 89 | Rwd: -2049.40 | Distanza goal: 269.52 | Motivo: Collisione ostacolo
Step: 241 | Rwd: -2139.84 | Distanza goal: 123.99 | Motivo: Deviazione eccessiva
Step: 244 | Rwd: -2140.61 | Distanza goal: 127.34 | Motivo: Collisione ostacolo
Step: 85 | Rwd: -2047.69 | Distanza goal: 173.76 | Motivo: Collisione ostacolo
Step: 357 | Rwd: 1791.44 | Distanza goal: 0.71 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 139 | Rwd: -2078.99 | Distanza goal: 181.50 | Motivo: Collisione ostacolo
Step: 342 | Rwd: 1799.74 | Distanza goal: 0.32 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 240 | Rwd: -2139.09 | Distanza goal: 4.88 | Motivo: Schianto a terra
Step: 393 | Rwd: 1771.22 | Distanza goal: 0.62 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 422 | Rwd: 1752.86 | Distanza goal: 0.81 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 133 | Rwd: -2076.60 | Distanza goal: 178.00 | Motivo: Collisione ostacolo
Step: 249 | Rwd: -2145.85 | Distanza goal: 104.49 | Motivo: Deviazione eccessiva
Step: 323 | Rwd: -2188.71 | Distanza goal: 5.37 | Motivo: Schianto a terra
Step: 212 | Rwd: -2123.84 | Distanza goal: 22.92 | Motivo: Schianto a terra
Step: 323 | Rwd: 1809.81 | Distanza goal: 0.96 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 244 | Rwd: -2142.84 | Distanza goal: 12.83 | Motivo: Schianto a terra
Step: 246 | Rwd: -2143.24 | Distanza goal: 125.88 | Motivo: Collisione ostacolo
Step: 269 | Rwd: 1841.57 | Distanza goal: 0.54 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 173 | Rwd: -2101.21 | Distanza goal: 110.56 | Motivo: Deviazione eccessiva
Step: 324 | Rwd: -2191.42 | Distanza goal: 1.74 | Motivo: Schianto a terra
Step: 380 | Rwd: -2223.38 | Distanza goal: 3.21 | Motivo: Schianto a terra
Step: 130 | Rwd: -2075.75 | Distanza goal: 174.87 | Motivo: Collisione ostacolo
Step: 335 | Rwd: -2197.02 | Distanza goal: 1.71 | Motivo: Schianto a terra
Step: 365 | Rwd: 1785.04 | Distanza goal: 0.67 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 364 | Rwd: -2214.70 | Distanza goal: 1.84 | Motivo: Schianto a terra
Step: 307 | Rwd: 1819.42 | Distanza goal: 0.78 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 144 | Rwd: -2083.25 | Distanza goal: 180.59 | Motivo: Collisione ostacolo
Step: 501 | Rwd: -2294.11 | Distanza goal: 1.88 | Motivo: Schianto a terra
Step: 110 | Rwd: -2063.71 | Distanza goal: 141.47 | Motivo: Collisione ostacolo
Step: 176 | Rwd: -2104.55 | Distanza goal: 105.41 | Motivo: Collisione ostacolo
Step: 84 | Rwd: -2048.41 | Distanza goal: 159.56 | Motivo: Collisione ostacolo
Step: 160 | Rwd: -2093.20 | Distanza goal: 155.65 | Motivo: Deviazione eccessiva
Step: 219 | Rwd: -2127.91 | Distanza goal: 113.40 | Motivo: Deviazione eccessiva
Step: 79 | Rwd: -2045.11 | Distanza goal: 350.93 | Motivo: Collisione ostacolo
Step: 98 | Rwd: -2056.98 | Distanza goal: 137.61 | Motivo: Collisione ostacolo
Step: 141 | Rwd: -2082.72 | Distanza goal: 141.86 | Motivo: Collisione ostacolo
Step: 302 | Rwd: -2178.62 | Distanza goal: 2.83 | Motivo: Schianto a terra
Step: 259 | Rwd: -2152.66 | Distanza goal: 1.51 | Motivo: Schianto a terra
Step: 111 | Rwd: -2063.89 | Distanza goal: 140.68 | Motivo: Collisione ostacolo
Step: 332 | Rwd: 1803.99 | Distanza goal: 0.89 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 68 | Rwd: -2039.10 | Distanza goal: 210.88 | Motivo: Collisione ostacolo
Step: 231 | Rwd: -2135.03 | Distanza goal: 143.12 | Motivo: Deviazione eccessiva
Step: 84 | Rwd: -2048.25 | Distanza goal: 174.37 | Motivo: Collisione ostacolo
Step: 147 | Rwd: -2085.83 | Distanza goal: 114.66 | Motivo: Collisione ostacolo
Step: 309 | Rwd: -2182.20 | Distanza goal: 1.79 | Motivo: Schianto a terra
Step: 271 | Rwd: -2158.84 | Distanza goal: 8.55 | Motivo: Schianto a terra
Step: 233 | Rwd: -2136.29 | Distanza goal: 9.54 | Motivo: Schianto a terra
Step: 412 | Rwd: 1756.72 | Distanza goal: 0.88 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 371 | Rwd: 1780.96 | Distanza goal: 0.78 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 115 | Rwd: -2066.76 | Distanza goal: 149.97 | Motivo: Collisione ostacolo
Step: 240 | Rwd: -2141.71 | Distanza goal: 9.08 | Motivo: Schianto a terra
Step: 170 | Rwd: -2098.77 | Distanza goal: 163.51 | Motivo: Collisione ostacolo
Step: 112 | Rwd: -2065.47 | Distanza goal: 188.14 | Motivo: Collisione ostacolo
Step: 380 | Rwd: 1775.82 | Distanza goal: 0.90 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 397 | Rwd: 1765.83 | Distanza goal: 0.80 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 358 | Rwd: 1789.61 | Distanza goal: 0.74 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 298 | Rwd: 1823.52 | Distanza goal: 0.92 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 324 | Rwd: -2190.08 | Distanza goal: 5.74 | Motivo: Schianto a terra
Step: 55 | Rwd: -2032.03 | Distanza goal: 284.81 | Motivo: Collisione ostacolo
