========================================================
INIZIO NUOVO ADDESTRAMENTO: 25-Apr-2026 20:23:25
========================================================
Ep (Worker) | Step | Reward Totale | Motivo Terminazione
--------------------------------------------------------
Step: 265 | Rwd: 480.26 | Distanza goal: 1.75 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 415 | Rwd: 472.66 | Distanza goal: 1.44 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 386 | Rwd: 476.96 | Distanza goal: 1.84 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 338 | Rwd: -534.30 | Distanza goal: 100.34 | Motivo: Deviazione eccessiva
Step: 427 | Rwd: 458.82 | Distanza goal: 1.89 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 430 | Rwd: 460.82 | Distanza goal: 1.71 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 311 | Rwd: 462.17 | Distanza goal: 1.68 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 358 | Rwd: 476.95 | Distanza goal: 1.11 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 644 | Rwd: 450.44 | Distanza goal: 1.86 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 284 | Rwd: -528.32 | Distanza goal: 100.31 | Motivo: Deviazione eccessiva
Step: 349 | Rwd: 476.37 | Distanza goal: 1.73 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 336 | Rwd: 481.15 | Distanza goal: 1.67 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 296 | Rwd: 480.93 | Distanza goal: 1.82 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 406 | Rwd: 468.02 | Distanza goal: 1.88 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 415 | Rwd: 470.38 | Distanza goal: 1.51 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 507 | Rwd: 469.77 | Distanza goal: 1.97 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 273 | Rwd: 469.60 | Distanza goal: 1.60 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 267 | Rwd: -526.35 | Distanza goal: 100.46 | Motivo: Deviazione eccessiva
Step: 193 | Rwd: -513.31 | Distanza goal: 69.59 | Motivo: Collisione ostacolo
Step: 325 | Rwd: 483.72 | Distanza goal: 1.82 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 250 | Rwd: 478.52 | Distanza goal: 1.15 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 166 | Rwd: -512.56 | Distanza goal: 153.87 | Motivo: Collisione ostacolo
Step: 389 | Rwd: 477.14 | Distanza goal: 1.91 | Motivo: TRAGUARDO RAGGIUNTO!
