========================================================
INIZIO NUOVO ADDESTRAMENTO: 16-Apr-2026 16:21:49
========================================================
Ep (Worker) | Step | Reward Totale | Motivo Terminazione
--------------------------------------------------------
Ep (Worker): 1 | Step: 885 | Rwd: -746.14 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 864 | Rwd: -646.47 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 911 | Rwd: -736.04 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1078 | Rwd: -296.90 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1323 | Rwd: -175.82 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1333 | Rwd: 38.00 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 252 | Rwd: -709.11 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 916 | Rwd: -409.17 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 1012 | Rwd: -302.76 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1069 | Rwd: -269.11 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1042 | Rwd: -274.72 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1524 | Rwd: -456.14 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1067 | Rwd: -226.81 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 745 | Rwd: -501.73 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 844 | Rwd: -517.18 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1138 | Rwd: 20.70 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1048 | Rwd: 910.02 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 960 | Rwd: 28.04 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1246 | Rwd: -282.71 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1071 | Rwd: -587.20 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1163 | Rwd: 112.70 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 732 | Rwd: -458.85 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 850 | Rwd: -133.08 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1147 | Rwd: -656.10 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 923 | Rwd: -105.12 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 898 | Rwd: 918.49 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 861 | Rwd: 762.32 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 1063 | Rwd: -1179.53 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1110 | Rwd: 468.57 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 1102 | Rwd: -134.78 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 1083 | Rwd: -69.10 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 716 | Rwd: -673.67 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 864 | Rwd: -608.02 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1068 | Rwd: -307.99 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1005 | Rwd: 870.74 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 1529 | Rwd: -237.56 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 705 | Rwd: -589.50 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 877 | Rwd: 500.13 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 990 | Rwd: -362.02 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 962 | Rwd: 67.26 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1045 | Rwd: -312.96 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1063 | Rwd: -448.49 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1060 | Rwd: -366.01 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 891 | Rwd: -316.34 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 878 | Rwd: 952.10 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 985 | Rwd: -57.03 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 961 | Rwd: -510.23 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1305 | Rwd: -592.80 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 784 | Rwd: -735.16 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 974 | Rwd: -51.44 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 965 | Rwd: -22.85 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1013 | Rwd: -76.96 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1235 | Rwd: 936.17 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 1325 | Rwd: -59.56 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 938 | Rwd: -119.89 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 752 | Rwd: -412.29 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 848 | Rwd: -887.79 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 1108 | Rwd: -503.66 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1123 | Rwd: -408.53 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1518 | Rwd: -272.95 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 833 | Rwd: 462.37 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 876 | Rwd: -358.35 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 947 | Rwd: -100.30 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 889 | Rwd: -459.67 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1011 | Rwd: -301.10 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1064 | Rwd: -680.25 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1073 | Rwd: -931.56 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 775 | Rwd: 490.45 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 956 | Rwd: 16.15 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 848 | Rwd: -94.53 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 946 | Rwd: -143.07 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 917 | Rwd: -1131.54 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 738 | Rwd: -287.08 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 884 | Rwd: 495.60 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 878 | Rwd: -533.96 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 833 | Rwd: -285.88 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 865 | Rwd: -604.58 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 895 | Rwd: -404.38 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 960 | Rwd: -139.54 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 829 | Rwd: 421.76 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 941 | Rwd: -404.93 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 973 | Rwd: -152.15 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1064 | Rwd: -485.24 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1278 | Rwd: -26.05 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 725 | Rwd: -457.44 | Motivo: Deviazione eccessiva (>10m)
Ep (Worker): 1 | Step: 945 | Rwd: -673.56 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1094 | Rwd: -569.96 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1065 | Rwd: -54.67 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1260 | Rwd: -177.90 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1512 | Rwd: -206.47 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 855 | Rwd: -282.46 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 871 | Rwd: -225.76 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 942 | Rwd: -268.86 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1116 | Rwd: 1122.24 | Motivo: TRAGUARDO RAGGIUNTO!
Ep (Worker): 1 | Step: 1214 | Rwd: -184.17 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1248 | Rwd: -654.24 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 841 | Rwd: -135.48 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 794 | Rwd: -571.54 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 959 | Rwd: -429.48 | Motivo: Schianto a terra
Ep (Worker): 1 | Step: 1120 | Rwd: 81.81 | Motivo: Schianto a terra
