========================================================
INIZIO NUOVO ADDESTRAMENTO: 16-Apr-2026 17:05:21
========================================================
Ep (Worker) | Step | Reward Totale | Motivo Terminazione
--------------------------------------------------------
Step: 91 | Rwd: -537.12 | Motivo: Collisione ostacolo
Step: 13 | Rwd: -491.05 | Motivo: Schianto a terra
Step: 899 | Rwd: -708.15 | Motivo: Schianto a terra
Step: 1002 | Rwd: -535.88 | Motivo: Schianto a terra
Step: 768 | Rwd: -756.05 | Motivo: Deviazione eccessiva
Step: 857 | Rwd: -625.62 | Motivo: Schianto a terra
Step: 1030 | Rwd: -320.20 | Motivo: Schianto a terra
Step: 16 | Rwd: -491.26 | Motivo: Schianto a terra
Step: 1074 | Rwd: -438.66 | Motivo: Schianto a terra
Step: 783 | Rwd: -707.01 | Motivo: Deviazione eccessiva
Step: 904 | Rwd: -326.36 | Motivo: Schianto a terra
Step: 879 | Rwd: -528.97 | Motivo: Schianto a terra
Step: 1079 | Rwd: -342.26 | Motivo: Schianto a terra
Step: 17 | Rwd: -492.75 | Motivo: Schianto a terra
Step: 343 | Rwd: -409.50 | Motivo: Schianto a terra
Step: 993 | Rwd: -78.33 | Motivo: Schianto a terra
Step: 902 | Rwd: -127.61 | Motivo: Schianto a terra
Step: 738 | Rwd: -479.88 | Motivo: Schianto a terra
Step: 863 | Rwd: -162.29 | Motivo: Schianto a terra
Step: 877 | Rwd: -315.66 | Motivo: Schianto a terra
Step: 857 | Rwd: -165.29 | Motivo: Schianto a terra
Step: 1099 | Rwd: -251.02 | Motivo: Schianto a terra
Step: 1020 | Rwd: -143.76 | Motivo: Schianto a terra
Step: 832 | Rwd: -182.96 | Motivo: Schianto a terra
Step: 943 | Rwd: -249.81 | Motivo: Schianto a terra
Step: 689 | Rwd: -534.53 | Motivo: Schianto a terra
Step: 801 | Rwd: -489.77 | Motivo: Schianto a terra
Step: 1229 | Rwd: 32.69 | Motivo: Schianto a terra
Step: 1503 | Rwd: 20.20 | Motivo: Schianto a terra
Step: 784 | Rwd: -363.63 | Motivo: Schianto a terra
Step: 915 | Rwd: -59.92 | Motivo: Schianto a terra
Step: 686 | Rwd: -342.10 | Motivo: Deviazione eccessiva
Step: 901 | Rwd: 603.98 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 896 | Rwd: -291.77 | Motivo: Schianto a terra
Step: 1042 | Rwd: 1053.89 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 825 | Rwd: 517.26 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 956 | Rwd: -650.83 | Motivo: Schianto a terra
Step: 1006 | Rwd: 778.77 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 1096 | Rwd: -77.51 | Motivo: Deviazione eccessiva
Step: 1317 | Rwd: -198.26 | Motivo: Schianto a terra
Step: 740 | Rwd: -448.56 | Motivo: Schianto a terra
Step: 914 | Rwd: -605.23 | Motivo: Schianto a terra
Step: 868 | Rwd: -274.63 | Motivo: Deviazione eccessiva
Step: 927 | Rwd: -187.50 | Motivo: Schianto a terra
Step: 1139 | Rwd: -210.60 | Motivo: Schianto a terra
Step: 1052 | Rwd: 767.44 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 901 | Rwd: -309.87 | Motivo: Deviazione eccessiva
Step: 873 | Rwd: -121.00 | Motivo: Schianto a terra
Step: 812 | Rwd: 565.54 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 867 | Rwd: -125.82 | Motivo: Schianto a terra
Step: 910 | Rwd: 899.73 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 1057 | Rwd: -172.03 | Motivo: Schianto a terra
Step: 869 | Rwd: -257.65 | Motivo: Schianto a terra
Step: 985 | Rwd: -121.17 | Motivo: Deviazione eccessiva
Step: 989 | Rwd: 650.82 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 1137 | Rwd: -401.65 | Motivo: Deviazione eccessiva
Step: 1348 | Rwd: -149.16 | Motivo: Schianto a terra
Step: 1243 | Rwd: -113.61 | Motivo: Schianto a terra
Step: 1073 | Rwd: -290.65 | Motivo: Schianto a terra
Step: 847 | Rwd: -120.38 | Motivo: Schianto a terra
Step: 820 | Rwd: -511.15 | Motivo: Schianto a terra
Step: 907 | Rwd: 664.28 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 983 | Rwd: -47.53 | Motivo: Schianto a terra
Step: 1084 | Rwd: -242.14 | Motivo: Schianto a terra
Step: 779 | Rwd: -583.64 | Motivo: Schianto a terra
Step: 795 | Rwd: 441.77 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 913 | Rwd: -730.42 | Motivo: Schianto a terra
Step: 989 | Rwd: -123.47 | Motivo: Schianto a terra
Step: 911 | Rwd: -841.24 | Motivo: Schianto a terra
Step: 1341 | Rwd: 59.84 | Motivo: Deviazione eccessiva
Step: 1285 | Rwd: -133.27 | Motivo: Schianto a terra
Step: 738 | Rwd: -404.74 | Motivo: Schianto a terra
Step: 838 | Rwd: 555.00 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 1047 | Rwd: -196.57 | Motivo: Schianto a terra
Step: 1044 | Rwd: 702.25 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 1313 | Rwd: 40.15 | Motivo: Deviazione eccessiva
Step: 848 | Rwd: 487.96 | Motivo: TRAGUARDO RAGGIUNTO!
Step: 920 | Rwd: -448.43 | Motivo: Schianto a terra
Step: 839 | Rwd: -246.87 | Motivo: Deviazione eccessiva
Step: 830 | Rwd: -680.06 | Motivo: Schianto a terra
Step: 1007 | Rwd: -99.48 | Motivo: Schianto a terra
Step: 1093 | Rwd: -381.84 | Motivo: Schianto a terra
